grid: 160.0 BPM / 16th, tick 93.8ms, phase 0.211s
each bar = 3s = 32 slots; slot = instrument with highest priority
==========================================================================================
  0    0.2 | ................................ | K 0 S 0 H 0 B 0 G 0 L 0 | low
  1    3.2 | ..........GGGGGGGGGGGG.GGG.LLBBG | K 0 S 0 H 0 B 2 G18 L15 | low
  2    6.2 | GGGGGGG....GGGG..GGGGLLBGGL..... | K 0 S 0 H 0 B 1 G17 L14 | low
  3    9.2 | ..LGGGGGGGGGGL.....BBGGGGGGGGGG. | K 0 S 0 H 0 B 2 G22 L16 | low
  4   12.2 | GG.BBBGGGGGGGGGGGGGGG...BBBBGGGG | K 0 S 0 H 0 B 7 G26 L16 | low
  5   15.2 | GGG......BBBBBBBBBBBKKKKKKK.SH.. | K 7 S 8 H 5 B18 G15 L12 | low
  6   18.2 | ..SBKKKKK...SH.....BKKKKK.S.HSKK | K12 S 6 H 7 B12 G 0 L 0 | low
  7   21.2 | KKBBKKKKKKK.K..BSBBBKHBBSK..K... | K13 S 3 H 3 B19 G 0 L 0 | low
  8   24.2 | K...KK..KK......SK..K.KHK.K.SBBB | K10 S 7 H 1 B 6 G 0 L 0 | mid
  9   27.2 | KBKBKHKBKBSBKBKBKKSKKLLKH..BHBB. | K12 S 9 H 4 B22 G 0 L 3 | mid
 10   30.2 | KHHLKKKLK.HHS.KHKBSKKSKKBBLSKHHK | K13 S 9 H 9 B17 G 2 L13 | mid
 11   33.2 | KHSSKSKHKKKHKL.BBBBBKKKHKKHLKKSS | K14 S13 H16 B21 G 4 L20 | mid
 12   36.2 | KBKBKKKHKSSKKKKHS.S.K..BSK.HKHKB | K14 S13 H15 B21 G 3 L11 | mid
 13   39.2 | SKSKKKKLSBKSKBBKBBBHHKKKKBHKKSKB | K15 S15 H 5 B29 G 1 L12 | low
 14   42.2 | KKKKKKHHSGHHBBBKKKKKKKKKK.SKSSKB | K18 S21 H 5 B25 G10 L 8 | mid
 15   45.2 | KSSSKBKKK.H.KSSKKSSKKKKKKBBBKKKH | K17 S22 H 7 B27 G 3 L 1 | mid
 16   48.2 | KKSKKBBKKBBKKBBKKBKKKKKKK.BBKKKB | K20 S12 H 4 B31 G 1 L 5 | low
 17   51.2 | KBKSKKKHSBSSKKSKKKKKKKKBBHBBBBBH | K15 S16 H 5 B30 G13 L10 | low
 18   54.2 | BBSBBBB.LGGGSSGG.SSHBKKKKKKSK.SB | K 7 S14 H 1 B19 G20 L17 | mid
 19   57.2 | SKBBKKBBKHKKKSBBKKKSKKKKKKSBKKKB | K19 S12 H 4 B28 G 0 L 0 | mid
 20   60.2 | KBKK.BBB.H.KKBKKK.HHKBKKSBBKKKKB | K15 S 5 H 6 B21 G 0 L 2 | mid
 21   63.2 | KBKK.BKHKBBKKB.KK.BBKBBKKK.BKKKK | K17 S 4 H 2 B23 G 0 L 0 | high
 22   66.2 | SKKK..K.KKKSKBKKS.BBKBKBKKS.SBKK | K16 S10 H 0 B21 G 0 L 0 | high
 23   69.2 | KKKK...BK.B.S.HHKBBKKKK.BKK.BKK. | K14 S 6 H 2 B18 G 0 L 0 | high
 24   72.2 | SKK.SKK.KKK.SSKKSSBKKS..K.SKKBK. | K15 S12 H 7 B15 G 0 L 0 | high
